dim,overhead-row-cuda-128,overhead-row-cuda-4096,overhead-row-cuda-64,overhead-cuda,calc-cuda-tag,read-cuda,total-row-cuda-4096,read-row-cuda-16,total-pthread-72,total-pthread-64,overhead-row-cuda-16,load-row-cuda-4096,read-row-cuda-2048,load-row-cuda-16,load-row-cuda-64,total-row-cuda-512,calc-row-cuda-1024,read-row-cuda-512,load-row-cuda-512,total-row-cuda-1024,calc-row-cuda-16,calc-row-cuda-2048,total-cuda,overhead-row-cuda-1,calc-row-cuda-1,total-pthread-16,calc-row-cuda-128,read-row-cuda-64,overhead-row-cuda-1024,total-improved,total-row-cuda-2048,total-pthread-32,total-naive,load-row-cuda-1024,overhead-row-cuda-2048,load-row-cuda-2048,load-cuda,calc-row-cuda-64,calc-row-cuda-4096,total-row-cuda-128,read-row-cuda-128,total-pthread-1,load-row-cuda-128,read-row-cuda-1,read-row-cuda-1024,total-row-cuda-16,total-pthread-8,overhead-row-cuda-512,total-row-cuda-1,calc-row-cuda-512,total-row-cuda-64,read-row-cuda-4096,load-row-cuda-1
10,0.000536,0.000424,0.000698,0.000429,0.000058,0.000051,0.001458,0.000102,0.006089,0.003275,0.000294,0.000355,0.000060,0.000192,0.000556,0.002189,0.001255,0.000172,0.000594,0.002097,0.000957,0.001007,0.000487,0.000596,0.001354,0.000769,0.001089,0.000142,0.000842,0.000018,0.001436,0.001677,0.000003,0.000633,0.000429,0.000369,0.000377,0.001069,0.001035,0.001624,0.000133,0.000160,0.000403,0.000135,0.000209,0.001251,0.000701,0.000766,0.001949,0.001422,0.001767,0.000068,0.000460
11,0.000235,0.000203,0.000261,0.000292,0.000048,0.000078,0.000315,0.000056,0.006123,0.003233,0.000205,0.000154,0.000056,0.000149,0.000162,0.001327,0.000135,0.000103,0.001042,0.000509,0.000126,0.000117,0.000340,0.000208,0.000400,0.000694,0.000134,0.000099,0.000373,0.000021,0.000254,0.001935,0.000004,0.000266,0.000137,0.000082,0.000214,0.000134,0.000112,0.000369,0.000058,0.000226,0.000177,0.000063,0.000107,0.000331,0.000556,0.001145,0.000608,0.000181,0.000395,0.000049,0.000144
12,0.000242,0.000299,0.000323,0.000179,0.000044,0.000056,0.000440,0.000088,0.008848,0.002779,0.000282,0.000241,0.000043,0.000194,0.000224,0.000741,0.000120,0.000095,0.000431,0.000435,0.000116,0.000125,0.000223,0.000599,0.000492,0.000684,0.000106,0.000098,0.000315,0.000005,0.000244,0.001555,0.000005,0.000205,0.000119,0.000077,0.000123,0.000116,0.000142,0.000349,0.000039,0.000234,0.000203,0.000106,0.000111,0.000398,0.000572,0.000526,0.001091,0.000215,0.000439,0.000058,0.000493
13,0.000205,0.000232,0.000532,0.000254,0.000049,0.000043,0.000357,0.000047,0.004992,0.002990,0.000184,0.000183,0.000056,0.000136,0.000441,0.000818,0.000134,0.000092,0.000242,0.000477,0.000118,0.000579,0.000303,0.000213,0.000497,0.000679,0.000544,0.000091,0.000343,0.000007,0.000829,0.001381,0.000007,0.000293,0.000250,0.000193,0.000211,0.000219,0.000124,0.000748,0.000057,0.000130,0.000148,0.000040,0.000050,0.000302,0.000582,0.000334,0.000709,0.000484,0.000750,0.000049,0.000172
14,0.000211,0.000357,0.000313,0.000326,0.000049,0.000040,0.000499,0.000043,0.005887,0.002919,0.000164,0.000308,0.000042,0.000121,0.000227,0.000408,0.000119,0.000058,0.000186,0.000313,0.000123,0.000123,0.000375,0.000205,0.000559,0.000674,0.000124,0.000086,0.000194,0.000030,0.000324,0.001362,0.000012,0.000157,0.000202,0.000160,0.000285,0.000168,0.000142,0.000335,0.000044,0.000115,0.000167,0.000039,0.000037,0.000286,0.000538,0.000244,0.000764,0.000164,0.000481,0.000049,0.000167
15,0.000206,0.000209,0.000298,0.000168,0.000041,0.000042,0.000340,0.000043,0.026254,0.003126,0.000170,0.000159,0.000040,0.000128,0.000210,0.000368,0.000127,0.000109,0.000112,0.000318,0.000131,0.000137,0.000208,0.000215,0.000621,0.000677,0.000123,0.000088,0.000192,0.000010,0.000294,0.001370,0.000014,0.000156,0.000157,0.000118,0.000125,0.000134,0.000131,0.000329,0.000038,0.000096,0.000168,0.000048,0.000036,0.000301,0.000338,0.000222,0.000835,0.000146,0.000432,0.000049,0.000167
16,0.000213,0.000172,0.000297,0.000213,0.000042,0.000038,0.000308,0.000043,0.012332,0.002985,0.000180,0.000122,0.000087,0.000137,0.000208,0.000308,0.000135,0.000045,0.000121,0.000305,0.000137,0.000143,0.000255,0.000175,0.000690,0.000689,0.000129,0.000089,0.000169,0.000012,0.000409,0.001412,0.000017,0.000125,0.000267,0.000179,0.000176,0.000138,0.000135,0.000342,0.000037,0.000098,0.000176,0.000042,0.000044,0.000317,0.000353,0.000166,0.000865,0.000141,0.000435,0.000051,0.000133
17,0.000263,0.000166,0.000298,0.000235,0.000039,0.000039,0.000324,0.000086,0.020687,0.003602,0.000253,0.000117,0.000038,0.000168,0.000206,0.000348,0.000152,0.000039,0.000151,0.000351,0.000241,0.000153,0.000275,0.000187,0.000763,0.000672,0.000200,0.000091,0.000199,0.000015,0.000363,0.001391,0.000020,0.000153,0.000210,0.000172,0.000196,0.000203,0.000159,0.000463,0.000084,0.000085,0.000179,0.000046,0.000045,0.000494,0.000350,0.000191,0.000950,0.000158,0.000501,0.000049,0.000141
18,0.000168,0.000211,0.000282,0.000204,0.000038,0.000044,0.000375,0.000089,0.006073,0.005412,0.000251,0.000160,0.000042,0.000162,0.000193,0.000359,0.000163,0.000056,0.000140,0.000356,0.000206,0.000156,0.000241,0.000176,0.000856,0.000671,0.000157,0.000089,0.000192,0.000017,0.000307,0.001352,0.000026,0.000150,0.000152,0.000110,0.000159,0.000206,0.000164,0.000324,0.000039,0.000081,0.000128,0.000038,0.000042,0.000457,0.000359,0.000196,0.001032,0.000164,0.000488,0.000051,0.000139
19,0.000192,0.000225,0.000303,0.000260,0.000087,0.000092,0.000409,0.000052,0.008008,0.010057,0.000208,0.000179,0.000276,0.000156,0.000214,0.000380,0.000166,0.000041,0.000170,0.000366,0.000220,0.000176,0.000347,0.000203,0.000954,0.000674,0.000165,0.000089,0.000200,0.000028,0.000916,0.001453,0.000029,0.000163,0.000740,0.000464,0.000168,0.000173,0.000184,0.000357,0.000038,0.000101,0.000154,0.000051,0.000037,0.000428,0.000352,0.000211,0.001157,0.000169,0.000476,0.000046,0.000152
